directedBy,Max_Rating,Min_Rating,Avg_Rating,,
Alain Gomis,4,4,4,,
Alejandro Agresti,3.375,3.375,3.375,,
Alonso Mayo,3.43056,3.43056,3.43056,,
Aris Chatzistefanou and  Katerina Kitidi,3.5,3.5,3.5,,
Barnaby Southcombe,2,1.5,1.75,,
Ben Caron,3.5,3.5,3.5,,
Beom-sik Jeong and  Sik Jung,3.28571,3.28571,3.28571,,
Costa-Gavras,3.63168,3.2971,3.46439,,
David E. Durston,2.60526,2.60526,2.60526,,
E.W. Swackhamer,3.5,0,1.2,,
Eric Bricker,3.14286,3.14286,3.14286,,
Erik Smith Meyer,2.9,2.9,2.9,,
George McCowan,3.5,3.5,3.5,,
Harry Bromley Davenport,2,2,2,,
James Seale,1.5,1.5,1.5,,
Jean-Claude Brisseau,3.08333,3.08333,3.08333,,
Jeffery Scott Lando,3.30769,3.30769,3.30769,,
Jeffrey Lau,4,4,4,,
Jin-gyu Cho,3.19565,3.19565,3.19565,,
Jing Wong,2.95,2.95,2.95,,
Joseph Lai,0,0,0,,
Kantz,2.40476,2.40476,2.40476,,
Katja von Garnier,3.71875,3.71875,3.71875,,
Levent Semerci,3.54167,3.54167,3.54167,,
Marguerite Abouet and  Clément Oubrerie,2.875,2.875,2.875,,
Matthias Schweighöfer and  Torsten Künstler,2.81579,2.81579,2.81579,,
Nelson Venkatesan,3.5,3.5,3.5,,
Peter Fleischmann,3.0625,3.0625,3.0625,,
Randy Olson,3.5,3.5,3.5,,
Richard Wallace,3.27273,3.27273,3.27273,,
Sara Lamm,2.4375,2.4375,2.4375,,
Sylvio Tabet,2.28378,2.28378,2.28378,,
T. Fikret Uçak,2,2,2,,
Taylor Sheridan,2.18182,2.18182,2.18182,,
Umesh Shukla,2,2,2,,
Wei Lo,3.5,2.66667,3.083335,,
William Beaudine,2.08333,2.08333,2.08333,,
Yeon Sang-Ho,3.875,3.21875,3.64217,,
Yoon Jae-goo,3.47826,3.41667,3.447465,,
"\Pierfrancesco Diliberto \""\""Pif\""\""\""""",3.10227,3.10227,3.10227,,
50 Cent,2.14286,2.14286,2.14286,,
A. C. Trilogchander,3.5,3.5,3.5,,
A. L. Vijay,3.94444,3.94444,3.94444,,
A. Sarkunam,5,0,2.5,,
A. Todd Smith,3,3,3,,
A.B. Stone,2.25,2.25,2.25,,
A.J. Martinson,2.5,2.5,2.5,,
A.K. Strom,0,0,0,,
A.R. Hilton,0,0,0,,
A.W. Vidmer,3.58333,3.58333,3.58333,,
Aage Rais-Nordentoft,3,2,2.5,,
Aaron Aites and  Audrey Ewell,3.46622,3.46622,3.46622,,
Aaron Biebert,3.125,3.125,3.125,,
Aaron Burns,3.6,3.6,3.6,,
Aaron Cadieux,2.5,2.5,2.5,,
Aaron Courseault,0,0,0,,
Aaron Douglas Johnston,4,3.5,3.75,,
Aaron Dunleavy,1.5,1.5,1.5,,
