directedBy,Total_Movies_Released
Allison Anders,8
Anne Goursaud,3
Christopher Monger,2
Eric Meza,2
Richard Wherrett,1
Jim Jarmusch,16
John Milius,9
"Harry Elfont, Deborah Kaplan",1
Rob Bowman,4
Laurence Olivier,5
Jean Yarbrough,22
Tommy Chong,5
Alfred Zeisler,4
Michael Gordon,17
"Jacques Perrin, Jacques Cluzaud",2
Wayne Kramer,4
"Johnnie To, Wai Ka Fa",1
Robert Parigi,1
Paul Morrison,3
Marcel Ophüls,2
Josef von Báky,3
Will Gluck,5
Mark Bussler,1
Lee Isaac Chung,3
Banksy,2
John Wells,3
"Dmitry Vasyukov, Werner Herzog",1
Dan Gildark,1
Peter Andrikidis,3
Lawrence Trilling,1
Jim Loach,2
Michael Brandt,1
Alexander Nanau,2
Dori Berinstein,3
"Nicholas Brown, Mark Flowers, Tom Hugh-Jones, Tuppence Stone",1
Yuriy Norshteyn,5
Orvo Saarikivi,1
Miraz Bezar,1
Lisa France,4
Todd E. Freeman,1
Coley Sohn,1
James Strong,2
Neeraj Pandey,5
Satoshi Isaka,1
Joona Tena,3
Ahmed Imamovic,1
Terry Cunningham,7
BJ Davis,3
Karen Leigh Hopkins,1
Aleksey German,2
"Alan Abel, Jeanne Abel",1
Phil Dornfeld,1
Dave Kim,1
Paul Borghese,2
D.M.W. Greer,1
Susan Frömke,1
Holly Goldberg Sloan,3
Claude Berri,11
Mika Kaurismäki,22
Nicholas Meyer,7
Tamar Simon Hoffs,2
Craig Mazin,2
Sheldon Lettich,6
Larry Fessenden,6
Jeremy Joe Kronsberg,1
Julien Duvivier,42
John Boulting,9
Emilio Martínez Lázaro,7
Greg Pritikin,1
John Rawlins,10
Chan-wook Park,7
Yôjirô Takita,5
Clas Lindberg,1
Michael Kang,2
"Jon Hurwitz, Hayden Schlossberg",2
Josh Gilbert,1
Carlos Brooks,2
Victor Garcia,1
"William Greaves, G. William Jones",1
"Charles Guard, Thomas Guard",1
Rob Schneider,2
"Marcel Sarmiento, Gadi Harel",1
Gabriel Pascal,1
Raymond Saint-Jean,1
Mary Mazzio,4
Peter Strickland,6
Josh Radnor,2
Justus von Dohnányi,1
Ken Burns,17
Jonas Mekas,8
Djo Munga,1
Christopher Neil,1
James Sbardellati,2
Lawrence Gordon Clark,2
John Paddy Carstairs,9
Jirí Trnka,1
Graham Elwood,2
Jason Stoddard,1
Anthony Wonke,5
Randy Moore,1
Saschka Unseld,1
"Nicola Cook, Giles Harrison, Peter Oxley, Nat Sharman, Jeremy Turner, Nigel Walk",1
Marco Berger,8
"Takaaki Ishiyama, Kôichi Mashimo",1
Dieudonné,2
Gretta Sammalniemi,1
Yam Laranas,3
"Kristian Manchester, Peter Svatek",1
"Derek Lee, Clif Prowse",1
"Allison Berg, Frank Keraudren",1
Marv Newland,2
Peter Sattler,1
"Merete Mueller, Christopher Smith",1
Zak Hilditch,3
