directedBy,Max_Rating,Min_Rating,Avg_Rating
"",4.16667,1.95045,3.113113333333333
"Bente Milton, Mikkel Stolt",3.25,3.25,3.25
Charles Walters,3.56667,3.56667,3.56667
"Chike Ozah, Coodie Simmons",3.625,3.625,3.625
Claudio Fäh,2.72,2.72,2.72
Dale Trevillion,4,1.5,2.75
David S. Cass Sr.,3.75,3.75,3.75
Edouard Deluc,3.16667,3.16667,3.16667
Fazil,2.47917,2.47917,2.47917
Fredrik Boklund,2.33333,2.33333,2.33333
Gordon Parks Jr.,3,3,3.0
Gregory Kohn,2.5,2.5,2.5
Hannu Leminen,2,2,2.0
"Henrik Hellström, Fredrik Wenzel",2.94444,2.94444,2.94444
Hugues Martin,2.5,2.5,2.5
J. Clay Tweel,3.625,3.625,3.625
Kerry Anne Mullaney,2.33333,2.33333,2.33333
Krisztina Goda,3.4375,3.4375,3.4375
Laurent Tirard,3.69343,3.69343,3.69343
Lim Dae-Woong,3.38462,3.1,3.24231
Michael Lange,2.8,2.8,2.8
Michealene Cristini Risley,4,4,4.0
Mircea Veroiu,3.33333,3.33333,3.33333
Morio Asaka,3.54,3.5,3.51908
Mu Chu,0,0,0.0
"Peter Brosens, Jessica Hope Woodworth",3.71429,3.71429,3.71429
Rob Perez,3.25,3.25,3.25
Siu-Tung Ching,2.86567,2.86567,2.86567
"Susan Froemke, Matthew Heineman",3.95833,3.95833,3.95833
Thor Heyerdahl,3.84524,3.84524,3.84524
Vitaliy Vorobyov,3.33333,3.33333,3.33333
Yoshiyuki Kuroda,3.36047,3.36047,3.36047
Yuxin Zhuang,0,0,0.0
"\"Roscoe \"\"Fatty\"\" Arbuckle\"",Buster Keaton,Buster Keaton,
300ml,4,3.5,3.75
A K Sajan,2.25,2.25,2.25
A. Dean Bell,3.18182,0,1.59091
A. Edward Sutherland,3.75,0,2.1857444444444445
A. G. Amid,4.16667,4.16667,4.16667
A. Karunakaran,3.5,3.15,3.325
A. P. Nagarajan,4,1.75,3.0833333333333335
A. Taner Elhan,3,3,3.0
A. Venkatesh,3.75,3.75,3.75
A.D. Calvo,3,0,1.3083333333333333
A.D. Freese,0,0,0.0
A.J. Bond,2.625,2.625,2.625
A.J. Eaton,3.45455,3.45455,3.45455
A.J. Edwards,3,2.75,2.875
A.J. Kparr,2.46364,2.46364,2.46364
A.R. Murugadoss,3.71429,2.4,3.0855500000000005
A.T. White,2.97619,2.97619,2.97619
AJ Schnack,3.85778,2.64286,3.3647425
Aamir,3.52632,3.52632,3.52632
Aamir Khan,3.98259,3.98259,3.98259
Aarne Tarkas,3.5,2.26316,2.88158
Aaron Augenblick,0,0,0.0
Aaron B. Koontz,2.75,2.5,2.625
"Aaron Blaise, Robert Walker",3.27969,3.27969,3.27969
Aaron Butler,0,0,0.0
Aaron C. Peer,3.25,3.25,3.25
Aaron Cohen,0,0,0.0
Aaron Fisher,0.5,0.5,0.5
Aaron Fisher-Cohen,5,5,5.0
Aaron Fronk,2.7,2.7,2.7
Aaron Hendren,2.75,2.75,2.75
Aaron J. Wiederspahn,3.83333,3.83333,3.83333
Aaron K. Carter,0,0,0.0
"Aaron Katz, Martha Stevens",3.06579,3.06579,3.06579
Aaron Keeling,3.14286,3.14286,3.14286
Aaron Kim,3.5,3.5,3.5
Aaron Kim Johnston,3.31148,3.31148,3.31148
Aaron Lipstadt,2.85938,1.47059,2.1649849999999997
"Aaron Lubarsky, Alexandra Pelosi",3.59167,3.59167,3.59167
Aaron McCann,3,3,3.0
Aaron Newman,3.25,3.25,3.25
Aaron Osborne,1.75,0,0.875
Aaron Rottinghaus,1.25,1.25,1.25
Aaron Schimberg,3.75,3,3.375
Aaron Schneider,3.51914,3.4248,3.47197
Aaron Seltzer,1.61284,1.61284,1.61284
Aaron Sorkin,3.8808,3.79167,3.836235
Aaron Speiser,3.62821,3.62821,3.62821
Aaron Walker,0,0,0.0
Aaron Wiederspahn,3.5,3.5,3.5
Aaron Wolf,0,0,0.0
Aashiq Abu,3.5,0,2.7534716666666665
Aatish Kapadia,3.75,3.75,3.75
Abai Karpykov,4,4,4.0
Abbas Alibhai Burmawalla,3.2931,2.6,2.9577649999999998
"Abbas Kiarostami, Ken Loach, Ermanno Olmi",3.6875,3.6875,3.6875
Abbas Tyrewala,3.21277,3.21277,3.21277
Abbe Wool,3.1746,3.1746,3.1746
Abby Ainsworth,3,3,3.0
Abby Berlin,4,0,2.875
Abby Epstein,3.53,3.53,3.53
Abdallah Omeish,4,4,4.0
Abdul Malik Abbott,2.225,2.225,2.225
Abdullah Oguz,3.63462,3.63462,3.63462
Abe Forsythe,3.5,0,2.2216133333333334
Abe Levy,0,0,0.0
"Abe Levy, Silver Tree",2.6,2.6,2.6
Abe Rosenberg Fishbein,2.7,2.7,2.7
Abel Ferry,2.83019,2.83019,2.83019
Abel Gance,3.72222,1,2.8453863636363637
Abel García Roure,0,0,0.0
Abhay Kumar,4,4,4.0
Abhinav Kashyap,2.88889,2.88889,2.88889
Abhishek Jain,3.5,3.5,3.5
Abhishek Kapoor,3.72368,2.17647,3.041365
Abhishek Pathak,2.5,2.5,2.5
Abhishek Sharma,3.38889,0,2.2476866666666666
Abiel Bruhn,1.75,1.75,1.75
Abner Benaim,3.75,0,2.36111
Abolfazl Jalili,3.33333,3.33333,3.33333
Abrar Alvi,4.125,4.125,4.125
Abrid Shine,3.78571,3.78571,3.78571
Abu Akhtarul Iman,1.5,1.5,1.5
Abu Bakr Shawky,3.5,3.5,3.5
Ace Cruz,3.5,0,1.75
Ace Jordan,3.25,3.25,3.25
Achero Mañas,4,0.75,2.76679
Achim Kurz,0,0,0.0
Achim von Borries,3.5,2,2.75
Acim Vasic,3,3,3.0
Ackyl Anwari,3.5,0,1.75
Ad Bol,2.25,2.25,2.25
Adam Abraham,3.26733,3.26733,3.26733
"Adam Beamer, Evan Beamer",1.25,1.25,1.25
"Adam Bernstein, Nico Beyer, John Flansburgh, Lidia Pryzluska, J. Otto Seibold, Helene Silverman, Drew Takahashi",3.3,3.3,3.3
Adam Blaiklock,3.125,3.125,3.125
Adam Bocknek,3.53475,3.53475,3.53475
Adam Bowers,3,3,3.0
Adam Butcher,3.4375,3.4375,3.4375
Adam C. Caudill,3.375,3.375,3.375
Adam Christian Clark,5,3.5,4.25
Adam Condal,0,0,0.0
Adam Cornelius,3.59091,3.59091,3.59091
Adam Cushman,2.57143,2.57143,2.57143
Adam Deacon,3.6,3.6,3.6
Adam Del Deo,3.5,3.5,3.5
"Adam Del Deo, James D. Stern",3.62987,3.62987,3.62987
Adam Deyoe,3.5,0.9,2.225
Adam Dick,2.25,2.25,2.25
Adam Dubin,3.68182,0,2.67625
Adam Egypt Mortimer,3.22973,2.30556,2.8835566666666668
Adam F. Goldberg,2.86567,2.86567,2.86567
Adam Fleischhacker,0,0,0.0
Adam Foulkes,3.42308,3.42308,3.42308
Adam Graveley,2.5,2.5,2.5
Adam Grossman,2.35294,2.23333,2.293135
"Adam Jay Epstein, Andrew Jacobson",1.82836,1.82836,1.82836
Adam Kane,3.5,3,3.25
"Adam Kassen, Mark Kassen",3.30519,3.30519,3.30519
Adam Keleman,2,2,2.0
Adam Khalil,0,0,0.0
Adam Kritzer,0,0,0.0
Adam Kurland,3.36364,3.36364,3.36364
Adam Leon,3.46512,3.43182,3.4484700000000004
Adam Levins,2.58824,2.58824,2.58824
Adam Linkenhelt,3.5,3.5,3.5
Adam Lubanski,0,0,0.0
Adam Marcus,2.64516,2.10116,2.4422625
Adam Marino,3.5,2.16667,2.833335
Adam McKay,4.05101,2.95121,3.4068899999999998
Adam Miklos,0,0,0.0
Adam Nimoy,3.41139,3.41139,3.41139
Adam Park,2.5,2.5,2.5
Adam Pertofsky,1.5,1.5,1.5
Adam Pinney,3.5,3.5,3.5
Adam Randall,3.22414,2.375,2.79957
"Adam Ravetch, Sarah Robertson",2.875,2.875,2.875
Adam Rehmeier,3,1.66667,2.333335
Adam Reid,3.83333,3.83333,3.83333
Adam Robitel,3.27374,3.0898,3.1862100000000004
Adam Salky,3.15854,0,2.351556
Adam Schindler,2.72059,2.72059,2.72059
Adam Schlesinger,3.57143,3.57143,3.57143
Adam Shankman,3.44554,2.63631,2.9283044444444446
Adam Sherman,2,1.5,1.75
Adam Simon,3.37963,1.69107,2.74761
Adam Sjöberg,3.66667,3.5,3.583335
Adam Small,3.16667,3.16667,3.16667
Adam Sobel,1,1,1.0
Adam Stern,3.34375,3.34375,3.34375
Adam Thomas Anderegg,3.56364,0,1.78182
